Sex	Income	Race	Age	Educ
1	70032	1	50	4
2	23005	1	45	4
1	44005	1	49	2
1	35600	1	49	3
2	54145	1	48	3
1	40000	1	45	3
1	12252	1	41	3
1	124500	1	55	5
2	23821	1	44	4
1	12622	1	51	3
1	69050	1	50	3
2	1610	1	49	5
1	5000	1	28	3
2	22300	1	36	4
1	39808	1	40	4
1	31084	1	58	4
2	23000	1	54	3
1	43000	1	29	3
2	23000	1	59	3
1	23000	1	52	2
1	22538	1	46	1
2	96000	1	49	6
1	17522	1	39	3
2	900	1	31	3
2	25000	1	62	3
1	34001	1	31	3
2	30001	1	31	4
1	77038	1	38	6
2	52038	1	34	5
1	27500	1	33	2
2	5000	1	28	2
2	40312	1	39	4
2	50858	1	41	6
1	43308	1	43	5
1	119800	1	57	6
1	45400	1	58	3
2	25149	1	60	3
1	40288	1	42	3
2	36561	1	50	3
1	20008	1	48	4
1	15000	1	31	5
2	35900	1	31	5
1	30025	1	54	4
2	59025	1	53	4
2	24420	1	46	5
1	49029	1	38	3
1	30600	1	44	3
1	45500	1	47	5
2	30500	1	44	5
1	100176	1	46	3
1	83600	1	54	5
2	33600	1	46	3
2	38907	1	43	5
1	50000	1	45	4
2	1855	1	43	3
1	-1245	1	46	3
2	22010	1	42	3
2	10000	1	29	3
1	16983	1	34	3
1	36025	1	35	3
2	75008	1	30	5
1	60050	1	44	2
2	34870	1	46	3
1	51883	1	47	4
1	12003	1	56	3
1	8200	1	36	4
2	52200	1	39	4
2	18000	1	38	2
1	52011	1	41	4
2	9000	1	38	5
1	14999	1	37	4
1	14000	1	30	3
1	40300	1	44	3
2	15000	1	56	4
1	50200	1	61	3
2	40025	1	59	3
1	30242	1	35	5
2	33242	1	35	6
1	20000	1	46	3
1	40030	1	37	4
2	23030	1	42	4
2	10245	1	30	3
1	20005	1	29	3
2	12000	1	47	4
1	23240	1	36	3
2	5708	1	50	2
1	8200	1	60	6
2	90500	1	39	5
2	7000	1	35	5
1	59000	1	44	5
1	36020	1	57	4
2	27022	1	52	4
2	15009	1	43	3
1	30802	1	45	2
2	0	1	44	5
1	22322	1	64	2
2	19000	1	59	3
2	6050	1	55	3
1	7050	1	55	3
1	35601	1	63	3
2	26301	1	56	3
2	16000	1	36	3
2	34200	1	52	4
2	13632	1	40	3
2	35700	4	31	5
1	37100	1	36	5
2	16700	1	47	5
1	100100	1	47	5
1	23500	1	62	3
2	28322	1	62	3
1	17216	1	40	4
2	35200	1	33	4
2	13000	1	59	3
2	7927	1	61	3
2	8905	1	30	5
2	28878	1	45	3
2	19700	1	60	4
1	63500	1	64	3
1	47013	1	35	4
1	3000	1	48	3
2	1000	1	48	3
2	48653	1	42	3
1	19000	1	43	4
1	22000	1	58	5
2	25000	1	46	4
1	41024	1	48	4
1	33037	1	56	4
2	20000	1	55	3
2	24025	1	52	4
1	32505	1	53	3
1	51283	1	34	4
1	23100	1	38	3
2	22395	1	36	3
2	27855	1	36	4
1	52383	1	55	5
2	24105	1	54	3
1	27750	1	25	3
1	29001	1	30	2
2	26601	1	32	3
1	40000	1	32	4
2	12341	1	29	4
2	9000	1	40	4
1	31000	1	46	4
1	40165	1	39	4
1	88651	1	52	3
2	32000	1	50	4
1	58000	1	52	4
1	50260	1	49	6
2	26249	1	38	4
1	60808	1	46	3
2	50808	1	48	4
2	12000	1	49	5
1	30182	1	64	1
2	15000	1	56	5
1	12000	1	46	3
2	174	1	51	3
2	1800	1	41	4
1	35000	1	51	3
2	21704	1	39	3
1	2400	1	40	2
2	14000	1	44	4
1	60308	1	44	4
1	32525	1	28	5
2	31060	1	28	5
2	48162	1	37	5
1	47722	1	41	2
1	46256	1	58	5
2	209112	1	47	4
2	18040	1	36	4
1	21500	1	39	5
2	10000	1	28	4
1	32000	1	28	6
2	41650	1	40	4
1	421669	1	43	4
2	16000	1	25	3
1	29250	1	30	3
1	24000	1	41	3
2	25000	1	43	4
2	38900	1	52	5
1	37000	1	25	3
2	22512	1	46	3
1	36505	1	47	3
1	31060	1	36	3
2	11718	1	38	3
1	20000	1	44	2
1	15000	1	27	3
1	32000	1	56	5
2	24294	1	25	4
2	50840	1	31	6
1	20040	1	39	6
1	46009	1	26	4
2	64007	1	25	5
2	66550	1	48	5
1	6050	1	42	3
1	66000	1	32	5
2	13000	1	31	3
1	59420	1	55	6
2	22085	1	53	4
2	150831	1	51	6
1	39662	1	58	5
1	56300	1	58	4
2	47845	1	52	6
2	25100	1	54	6
1	35199	1	45	3
1	60323	1	39	4
2	6100	1	34	4
2	25000	1	52	3
1	6200	1	56	2
2	17500	1	54	3
2	12834	1	43	3
2	33496	1	59	5
1	22165	1	60	4
1	47000	1	36	4
2	30000	1	39	6
1	31323	1	44	5
2	40323	1	42	5
2	27281	1	35	3
1	35500	1	43	2
1	40000	1	47	3
1	22000	1	25	4
1	115200	1	31	5
1	38400	1	61	2
1	29055	1	40	3
2	42055	1	36	3
2	29100	1	44	3
1	15000	1	38	2
2	7550	1	33	4
1	35116	1	39	4
2	6116	1	33	4
2	26010	1	31	3
1	55000	1	34	3
2	17565	1	51	5
1	65600	1	64	4
2	25000	1	30	5
1	58000	1	39	5
2	10000	1	38	5
2	18603	1	58	3
1	87002	1	55	6
2	19400	1	53	5
1	36500	1	54	6
1	29300	1	28	4
1	65000	1	47	3
2	28000	1	42	5
1	62100	1	37	3
2	1000	1	38	3
1	36000	1	44	3
2	20000	1	48	3
1	25000	1	28	2
1	21104	1	53	3
2	18102	1	36	3
2	9044	1	50	2
1	38488	1	39	3
2	10000	1	31	3
1	36000	1	58	3
1	75700	1	41	6
2	75700	1	41	5
2	26100	1	35	4
1	70004	1	51	4
2	46000	1	51	4
1	171685	1	53	4
1	49500	1	45	3
2	62000	1	44	4
1	53034	1	50	3
2	34435	1	48	3
2	19000	1	25	4
1	45672	1	31	5
2	32010	1	28	3
1	154000	1	42	5
2	55	1	33	5
2	0	1	42	4
1	100000	1	33	3
2	52000	1	60	6
2	20060	1	47	6
1	57150	1	46	5
2	14900	1	63	3
1	18020	1	44	3
1	18262	1	46	3
2	34761	1	43	3
2	26200	1	40	3
1	13000	1	38	3
1	36002	1	47	3
1	34193	1	63	3
2	20250	1	61	4
2	33650	1	51	3
1	47650	1	52	3
1	30000	1	50	3
2	60350	1	55	5
1	30101	1	40	3
2	40101	1	38	4
1	24960	1	62	3
2	35500	1	28	5
2	34635	1	58	4
1	36950	1	54	6
1	49000	1	41	5
2	51070	1	59	5
1	52206	1	52	3
2	39150	1	48	5
1	20100	1	59	4
2	38060	1	29	5
2	93488	1	58	6
1	30200	1	30	5
2	17176	1	42	4
1	33000	1	58	3
1	38000	1	39	3
2	26335	1	29	6
2	50523	1	36	6
1	125523	1	35	5
1	57100	1	25	5
2	30200	1	59	5
1	45200	1	57	6
2	4200	1	50	6
1	41011	1	61	3
2	26911	1	61	5
2	25202	1	49	3
1	23002	1	57	3
2	10012	1	38	4
1	46857	1	55	4
2	36410	1	33	4
1	51400	1	37	5
2	55001	1	30	3
1	26800	1	34	3
1	64200	1	33	5
2	65200	1	35	5
2	18200	1	31	3
2	4320	1	47	3
1	34320	1	46	6
1	60000	1	45	4
2	10000	1	43	4
1	50162	1	49	3
1	21782	1	56	2
1	38001	1	31	4
2	12341	1	30	4
2	64800	1	42	3
2	6706	1	28	3
1	13400	1	32	3
1	75500	1	33	6
2	19379	1	37	4
1	39811	1	39	3
2	36231	1	39	4
1	35100	1	50	3
2	30100	1	42	6
1	34000	1	40	6
1	35000	1	50	3
2	5000	1	43	3
1	50230	1	41	3
2	16230	1	35	3
2	9615	1	49	4
1	32735	1	55	3
2	37200	1	45	4
2	12480	1	33	4
2	17000	1	30	5
1	31284	1	32	3
2	62883	1	53	4
1	13000	1	61	3
1	35000	1	40	3
2	22000	1	30	3
1	28238	1	29	3
1	25476	1	57	6
2	37567	1	35	6
2	27040	1	28	3
1	84558	2	54	4
2	32088	1	30	4
2	43134	1	43	3
1	47634	1	47	3
2	39081	1	45	4
1	46581	1	49	4
1	32070	1	40	3
1	83646	1	47	3
2	47646	1	47	3
1	120500	1	49	6
1	12320	1	31	2
2	23879	1	25	4
1	97221	1	47	6
2	11610	1	44	5
1	36920	1	60	5
2	30662	1	60	6
1	39200	1	64	5
1	70706	1	52	5
1	50000	1	53	3
2	50000	1	51	4
2	8250	1	28	5
1	40250	1	28	3
1	10000	1	60	1
1	83584	1	55	4
2	11960	1	38	3
1	34908	1	39	2
1	70000	1	53	4
1	4000	1	52	5
2	45265	1	38	6
2	21210	1	28	6
1	55000	1	42	3
2	29584	1	58	3
1	60044	1	62	3
1	43046	1	55	5
2	48046	1	49	4
1	16405	1	39	3
2	29805	1	36	4
2	28595	1	54	3
1	49095	1	55	3
1	35104	1	42	3
2	11255	1	48	3
1	67005	1	43	5
1	8951	1	59	2
2	10025	1	57	3
1	29000	1	39	3
1	30858	1	40	5
2	17496	1	38	2
2	73000	1	32	5
1	131500	1	45	5
1	55871	1	48	5
2	66991	1	50	5
2	18224	1	48	4
2	130144	1	33	6
1	45006	1	35	6
2	50452	1	42	4
1	75001	1	34	5
1	26280	1	33	4
2	50000	1	33	3
1	80100	1	50	5
2	26169	1	53	4
1	59669	1	51	5
2	6440	1	57	3
1	50000	1	47	3
2	20000	1	44	4
2	3940	1	59	3
1	42312	1	57	3
2	34135	1	56	3
1	39480	1	26	5
1	30000	1	38	3
2	30000	1	42	3
2	55005	1	56	6
1	11000	1	46	4
2	25405	1	43	4
1	34996	1	38	3
2	3950	1	41	5
1	38428	1	64	4
1	22010	1	60	3
1	101300	1	62	3
2	67035	1	53	3
2	23045	1	29	4
1	28365	1	29	3
2	27000	1	43	3
1	8000	1	44	2
2	19200	1	34	4
2	5	2	42	3
2	37186	1	42	4
2	54164	1	51	5
1	52514	1	52	4
1	25000	1	37	3
2	49436	1	38	4
2	38177	1	41	4
1	20177	1	51	5
2	45500	1	54	5
1	41800	1	45	5
1	39680	1	45	3
1	88661	1	28	4
2	33800	1	29	4
1	38322	1	31	4
1	70800	1	41	3
2	40440	1	30	4
1	7079	1	44	2
1	52875	1	37	4
2	18000	1	33	4
2	11000	1	46	3
1	40000	1	26	4
2	71983	1	38	6
1	16150	1	25	4
1	15000	1	42	4
1	25485	1	46	4
2	19985	1	40	5
1	32890	1	45	3
2	20800	1	47	3
1	7500	1	50	4
2	49600	1	43	4
1	140000	1	40	6
2	52000	1	36	4
1	15054	1	53	4
1	3600	1	33	3
1	48040	4	44	6
2	25000	4	40	6
2	50034	1	52	6
1	13820	1	56	4
2	32000	1	25	3
2	25500	1	30	5
1	48000	1	33	3
1	126730	1	53	5
2	48000	1	34	4
1	30000	1	42	3
1	48070	4	50	6
2	20020	4	48	5
1	36100	1	30	5
2	19800	1	26	3
1	3450	1	42	3
2	12023	1	39	4
2	24903	1	47	3
1	52400	1	56	4
1	30081	1	43	3
2	38081	1	40	5
2	19408	1	64	3
1	150436	1	62	5
1	41750	1	53	3
2	49750	1	53	4
2	4700	1	63	5
2	8980	1	63	3
1	25992	1	48	4
2	27600	1	61	3
2	51016	1	47	6
1	24801	1	25	5
2	24000	1	52	2
1	44000	1	34	4
2	32500	1	35	3
1	79000	1	41	4
2	39000	1	40	4
1	421469	1	28	4
1	40144	1	52	3
2	30805	1	45	5
1	17496	2	33	1
2	21424	1	34	3
1	21424	1	44	4
1	70100	1	55	3
2	10000	1	55	4
2	35120	1	49	4
1	68791	1	47	4
1	62000	1	46	4
2	13300	1	44	4
2	70120	1	48	5
1	73012	1	50	4
1	27660	1	61	6
2	20000	1	26	4
1	21000	1	29	3
1	32000	1	46	3
2	26759	1	53	4
1	115144	1	53	4
2	122619	1	40	5
1	96619	1	43	5
2	29500	1	59	4
1	169769	1	56	5
2	64269	1	54	5
1	5043	1	27	4
1	75600	1	49	5
2	45200	1	44	4
2	49169	1	53	4
1	50169	1	54	4
2	25248	1	28	4
1	32248	1	34	3
1	15320	2	39	3
2	0	2	37	3
1	33000	1	54	5
2	35000	1	52	5
1	11970	1	41	3
1	13968	1	58	3
1	25900	1	52	3
2	38400	1	49	4
2	12000	1	51	3
2	30000	1	34	4
1	25015	1	41	3
1	64350	1	55	6
2	24000	1	53	5
2	56500	1	55	5
1	107500	1	59	6
1	95000	1	36	5
2	30000	1	29	5
1	52162	1	49	3
2	5000	1	48	3
1	30550	1	47	3
1	31460	1	53	3
2	23000	1	53	3
1	113323	1	39	5
2	43323	1	40	5
1	50002	1	47	4
2	40002	1	52	3
1	75001	1	57	3
2	35361	1	56	3
2	49250	1	59	5
1	29560	1	59	3
1	18000	1	26	3
2	4000	1	54	1
1	15000	1	54	3
1	32530	1	30	3
1	74883	1	37	3
2	12002	4	58	2
1	40030	1	53	5
2	10030	1	57	4
1	36040	1	45	3
2	20040	1	45	3
1	65100	1	48	3
2	18000	1	42	3
1	50162	1	41	3
2	10900	1	39	5
1	49200	1	38	4
2	25100	1	38	3
1	55000	1	50	4
2	10000	1	31	3
2	66064	1	48	4
1	49381	1	36	6
1	48241	1	56	3
1	52475	1	35	4
2	17975	1	32	4
2	12900	1	31	3
1	52000	1	31	2
2	32020	1	38	4
1	76000	1	47	3
2	42338	1	45	4
1	25000	1	31	3
2	19000	1	40	4
2	52800	1	41	4
1	18785	1	58	3
1	29702	1	37	4
1	86334	1	61	3
2	38000	4	45	6
2	37030	1	50	4
2	25520	1	32	3
1	60405	1	45	2
2	22405	1	44	3
1	21000	1	48	3
2	30024	1	50	5
1	421975	1	41	3
1	61553	1	55	4
2	37552	1	64	5
1	81000	1	49	6
2	6001	1	49	5
1	50500	1	50	4
2	25000	1	46	4
2	25200	1	47	3
1	60500	1	49	3
2	71349	1	35	6
1	48025	1	31	4
1	111696	1	57	6
1	30138	1	36	3
1	36000	1	48	4
2	53100	1	57	6
1	421969	1	57	6
1	47306	1	34	5
2	14162	1	41	5
1	122162	1	44	5
2	57607	1	48	6
2	56035	1	54	4
2	32128	1	47	5
1	34625	1	45	5
1	92619	1	55	3
2	18566	1	61	3
2	-398	1	37	5
1	107088	1	39	5
1	42000	1	36	5
2	8121	1	36	5
1	90031	1	39	6
2	24130	1	30	4
1	24170	1	34	5
1	150000	1	49	6
2	41365	1	25	4
1	170058	1	42	6
2	12058	1	39	6
1	32578	1	61	3
2	37060	1	57	3
1	52000	1	52	3
2	16008	1	48	5
1	166008	1	49	6
1	66000	1	37	3
2	30000	1	37	4
1	65001	1	47	3
2	30000	1	41	4
1	40035	1	51	3
2	40035	1	51	4
1	45100	2	39	4
2	25000	1	29	3
2	42258	1	40	1
1	26357	1	41	3
2	33367	1	46	6
2	33920	1	51	4
1	47893	1	60	3
1	55143	1	50	3
2	47143	1	45	4
2	48000	1	42	6
1	95100	1	48	5
2	18500	1	37	6
1	32500	1	54	5
2	68060	1	59	4
2	51005	1	27	6
1	34005	1	28	5
1	44610	1	41	4
1	59421	1	56	5
2	53700	1	55	5
1	30000	1	25	4
1	20065	1	36	3
2	63065	1	34	5
2	74840	1	60	6
2	63800	1	58	6
1	50000	1	40	3
2	9100	1	37	3
2	116045	1	46	4
2	49000	1	48	4
1	6170	1	58	5
1	55925	1	35	6
2	28375	1	35	6
1	35311	1	49	4
2	39460	1	52	3
2	21500	1	37	4
1	74597	1	46	4
1	99261	1	53	6
2	75260	1	58	5
2	47960	1	44	5
1	49960	1	51	4
2	34802	1	63	5
1	120162	1	49	4
2	12162	1	51	4
1	58182	1	35	4
2	5382	1	34	3
1	21000	1	42	4
2	26000	1	41	4
2	21000	1	61	3
2	18000	1	32	4
1	31836	1	61	4
1	65808	1	47	5
2	115808	1	44	5
1	64900	1	44	5
2	234205	1	45	5
1	29000	1	49	5
1	81000	1	47	5
1	56500	1	30	4
1	24076	4	37	4
2	11075	4	42	6
2	27065	4	35	1
1	58065	4	48	1
1	58060	1	32	4
2	40860	1	27	6
2	30111	1	38	5
1	50011	1	37	5
2	23945	1	27	5
1	67701	1	45	3
2	27076	1	47	3
1	46058	1	36	4
2	47085	1	43	4
2	37400	1	36	5
1	42000	1	33	3
2	72600	1	43	5
1	25100	1	43	4
1	41208	1	48	6
2	22908	1	50	5
1	17000	1	28	4
1	153041	1	57	6
2	-9360	1	57	6
1	42000	1	46	3
2	21000	1	39	3
1	66000	1	58	6
2	3000	1	46	5
2	28006	1	56	5
2	51000	1	46	6
1	71615	1	46	6
1	80500	1	34	5
2	35005	1	36	5
2	50050	1	29	5
1	45050	1	32	5
1	166200	1	47	5
2	65001	1	56	5
1	11081	1	40	4
2	48081	1	39	5
1	35515	1	37	4
2	8704	1	37	4
2	100850	1	32	6
1	20850	1	30	6
1	75024	1	45	3
2	127119	1	52	6
1	163119	1	56	6
2	43151	1	46	6
1	131151	1	49	6
1	137500	1	49	5
2	27500	1	48	6
1	35510	1	55	5
2	65000	1	45	4
1	205000	1	52	6
1	73500	1	53	4
1	189151	1	51	4
2	55499	1	60	6
1	6000	1	44	3
2	42010	1	27	5
1	41000	1	26	4
1	36175	1	38	3
2	26100	1	36	5
2	46025	1	50	4
1	37225	1	57	3
1	46150	1	53	5
2	151150	1	50	6
1	43288	1	41	4
1	51460	2	32	6
1	104507	1	57	6
2	44507	1	51	6
2	12162	1	48	4
1	57362	1	47	4
2	12510	1	48	6
2	23000	1	41	5
2	79258	1	42	5
2	50898	1	47	5
1	109050	1	46	5
1	21615	1	48	5
2	21615	1	48	4
1	424969	1	38	5
1	22800	1	28	3
1	21375	1	55	4
2	53100	1	56	5
1	30000	1	27	4
1	51405	1	26	4
2	1	1	28	3
2	49050	1	52	6
1	64050	1	53	4
1	86124	1	34	6
2	27000	1	35	5
1	43808	1	43	3
2	40808	1	42	4
2	82202	1	46	5
1	94636	1	42	6
2	2036	1	34	5
2	39688	1	64	3
1	23000	1	30	4
1	30444	1	53	4
2	37024	1	48	4
1	22216	1	53	5
2	90000	1	40	6
2	13680	1	39	3
1	52820	1	54	4
2	42050	1	60	3
1	32100	1	64	3
1	50000	1	46	3
2	29000	1	43	5
2	24500	1	37	4
1	30200	1	52	4
2	32200	1	46	4
1	22050	1	47	4
2	20550	1	46	4
1	15000	1	29	3
1	30000	1	43	3
2	49000	1	26	5
2	90191	1	38	6
1	81250	1	45	5
1	22594	1	64	5
1	17000	1	39	4
2	46000	1	51	3
1	24000	1	53	5
2	92297	1	50	6
1	418	1	58	3
2	3019	1	55	4
1	112286	1	31	5
2	15200	1	61	3
2	35700	1	50	5
1	99700	1	53	5
2	38915	1	35	3
1	28180	1	58	3
2	22180	1	57	3
1	36180	1	29	4
2	50000	1	25	5
2	27645	1	29	5
1	23000	1	28	4
2	21015	1	26	4
1	35150	1	48	4
2	35150	1	56	3
1	160084	1	54	6
2	40000	1	46	6
1	35600	1	42	4
2	50100	1	37	6
1	28497	1	61	4
1	32050	1	27	4
2	18050	1	25	4
1	30350	1	34	5
2	30000	1	29	5
1	106020	1	61	6
2	41300	1	33	6
1	83000	1	35	6
1	186593	1	58	5
2	74586	1	46	5
2	53169	1	51	6
1	173204	1	56	6
2	14575	1	64	1
1	20095	1	56	2
2	59515	1	39	3
1	29000	1	50	3
1	89344	1	50	5
2	41344	1	54	5
1	51400	2	50	4
2	30000	2	49	4
1	29000	1	35	3
1	55000	4	48	6
1	43205	1	49	6
2	53864	1	52	5
1	65050	1	33	4
2	80300	1	45	5
1	25150	1	46	5
1	150279	1	47	6
2	39680	4	47	6
1	18685	1	51	5
2	102685	1	49	5
1	89691	1	46	2
2	13811	1	42	4
1	58423	1	47	4
2	51259	1	40	4
1	80000	1	43	4
1	150735	1	51	6
2	16735	1	51	6
2	122000	1	36	5
1	45000	1	36	3
1	50057	1	59	3
1	99000	1	33	4
2	49500	1	29	5
2	25000	1	44	4
1	50000	1	45	3
1	51093	1	51	3
2	19973	1	49	5
2	56114	1	40	4
1	72550	1	45	3
2	7000	1	38	5
1	65060	1	35	3
2	28905	1	41	4
1	61938	1	36	5
2	60162	1	37	5
2	14000	1	47	2
2	91979	1	40	5
2	50050	1	41	5
1	80050	1	40	5
1	92500	1	39	5
2	5000	1	39	3
1	41050	1	42	6
2	40050	1	42	5
2	47000	1	42	3
1	66000	1	43	4
1	90615	1	42	5
2	26615	1	41	4
1	56353	1	50	3
1	75300	1	46	4
2	123615	1	50	6
2	55544	1	44	5
2	18912	1	34	4
1	45010	1	41	3
1	93876	1	48	6
2	45724	1	50	5
2	37547	1	63	3
1	67052	1	49	6
2	86400	1	51	6
1	64400	1	49	5
1	49000	1	38	5
2	19300	1	41	3
2	48000	1	51	4
2	65416	1	44	5
1	121670	1	44	5
2	35162	1	49	4
1	52483	1	48	4
1	47029	1	44	4
1	45000	1	38	5
2	36001	1	36	6
2	14450	1	50	4
1	40739	1	52	4
2	30000	1	56	4
1	83521	1	57	3
2	23600	1	27	5
1	30453	1	62	3
2	20503	1	60	5
1	75000	1	26	3
2	12185	1	57	3
1	78185	1	50	3
2	25911	1	32	5
1	40800	1	33	5
2	21151	1	27	3
1	55194	1	57	3
2	29608	1	51	4
2	29050	1	59	4
2	64311	1	52	4
2	30010	1	25	3
1	80003	1	43	5
2	17600	1	54	3
1	28501	1	37	3
2	18001	1	26	3
1	52423	1	45	3
1	40000	1	51	3
2	25000	1	49	3
2	25000	1	46	4
1	21056	1	62	4
2	23139	1	64	3
1	73450	1	44	3
2	32600	1	46	3
1	44000	1	34	3
1	51800	1	53	3
2	47632	1	45	4
2	14434	1	56	3
1	51800	1	50	3
2	45242	1	47	3
1	18942	1	52	3
1	49448	1	52	4
2	22958	1	51	4
2	18500	1	48	4
1	93000	1	52	4
1	18150	1	37	3
1	13050	1	30	3
2	24703	1	46	3
1	22000	1	48	3
1	50000	1	52	4
2	56000	1	50	5
2	33250	1	37	2
2	21086	1	63	2
1	60000	1	50	4
2	70000	1	50	6
2	3516	1	47	4
1	32204	1	51	4
2	156135	1	61	3
1	62000	1	53	3
1	17900	1	51	5
2	49900	1	51	4
2	58502	1	57	4
1	60337	1	57	4
1	4100	1	38	3
2	10500	1	58	4
2	37000	1	46	3
1	29030	1	28	3
2	51977	1	44	5
2	17500	1	45	4
1	32002	1	53	5
1	30000	1	33	3
1	58000	1	34	6
2	56000	1	34	5
1	15930	1	48	4
1	19403	1	49	3
1	45015	1	31	4
1	15000	1	40	3
2	27553	1	63	5
1	53447	1	64	6
2	25100	1	32	6
1	36000	1	42	3
1	8200	1	45	3
2	200	1	33	3
1	44001	1	51	3
2	36001	1	47	4
1	87200	1	57	5
2	19200	1	57	5
2	31000	1	64	3
1	60300	1	43	5
1	81460	1	46	3
1	126000	1	58	5
2	18000	1	64	3
2	20000	1	41	4
1	60000	1	39	3
2	72619	1	29	3
1	21000	1	34	3
