Row	Col	Hgt90	Hgt96	Diam96	Grow96	Hgt97	Diam97	Spread97	Needles97	Deer95	Deer97	Cover95	Fert	Spacing
5	10	*	162.5	1.6	49.5	232	2.80	153	65.0	0	0	1	1	15
5	11	*	241.0	3.5	62.5	321	5.00	188	62.0	1	0	1	1	15
5	12	*	*	*	*	*	*	*	*	*	*	0	1	15
5	13	24.0	226.0	3.4	5.0	305	5.80	129	80.0	1	1	1	1	15
5	14	19.0	209.5	3.0	55.5	252	3.40	161	69.0	0	0	3	1	15
5	15	24.5	325.0	5.1	66.0	344	6.20	20	60.2	0	0	2	1	15
5	16	24.0	209.0	2.1	44.0	254	4.40	123	53.0	0	0	2	1	15
5	17	19.5	182.0	1.8	36.0	203	3.20	91	54.0	0	0	3	1	15
5	18	20.0	181.0	1.5	39.0	228	3.30	100	72.0	0	1	3	0	15
6	1	21.0	307.0	3.7	89.0	366	5.30	151	75.0	1	0	1	0	15
6	2	*	279.0	3.5	91.0	348	5.50	175	89.0	1	1	2	0	15
6	3	18.0	380.0	5.5	100.0	427	8.10	254	60.0	1	0	3	0	15
6	4	19.0	235.0	2.7	81.0	300	4.20	56	49.0	1	1	1	0	15
6	5	*	*	*	*	*	*	*	*	*	*	0	0	15
6	6	12.0	244.0	2.4	70.0	313	3.80	173	55.0	0	1	3	0	15
6	7	18.0	355.0	5.3	81.0	422	7.80	316	90.0	0	1	2	0	15
6	8	16.0	330.0	5.2	81.0	412	7.70	232	65.0	0	0	0	0	15
6	9	24.0	314.0	4.6	64.0	402	6.40	235	172.0	1	1	1	0	15
6	10	22.0	280.0	3.3	101.0	349	4.90	199	74.0	1	1	0	1	15
6	11	20.0	268.0	3.1	98.0	343	5.20	193	72.0	0	1	0	1	15
6	12	14.0	325.0	4.3	96.0	414	6.40	187	60.0	1	1	0	1	15
6	13	23.0	311.0	5.9	78.0	392	7.60	188	71.0	0	0	1	1	15
6	14	21.0	195.0	3.6	0.0	251	5.30	190	103.0	0	0	0	1	15
6	15	26.0	324.0	4.4	93.0	419	7.40	244	90.0	0	1	2	1	15
6	16	15.0	146.0	1.5	17.0	206	2.50	114	63.0	1	0	3	1	15
6	17	*	*	*	*	*	*	*	*	*	*	0	1	15
6	18	13.0	*	*	*	115	0.40	96	47.0	0	0	2	1	15
7	1	*	*	*	*	*	*	*	*	*	*	3	0	15
7	2	23.0	380.0	5.4	98.0	452	7.70	210	71.0	0	0	2	0	15
7	3	22.0	226.0	3.7	66.0	276	5.40	157	70.0	0	0	2	0	15
7	4	22.0	271.0	4.0	71.0	310	6.40	170	63.0	0	1	1	0	15
7	5	*	187.0	1.8	70.0	250	3.70	136	66.0	0	0	1	0	15
7	6	*	221.0	2.1	78.0	282	3.60	141	72.0	0	0	1	0	15
7	7	*	196.0	1.6	53.0	262	2.90	138	64.0	0	0	3	0	15
7	8	21.0	325.0	5.0	82.0	371	7.30	229	65.0	0	0	0	0	15
7	9	19.0	220.0	2.6	88.0	294	4.60	180	80.0	0	0	0	0	15
7	10	*	*	*	*	*	*	*	*	*	*	0	1	15
7	11	*	167.0	2.0	63.0	226	3.30	114	66.0	0	0	0	1	15
7	12	18.0	275.0	4.1	74.0	293	4.70	139	49.0	0	0	2	1	15
7	13	22.0	190.0	2.5	33.0	229	3.70	107	79.0	0	0	3	1	15
7	14	17.0	275.0	2.6	77.0	337	5.40	178	75.0	0	0	3	1	15
7	15	*	137.0	1.7	25.0	200	3.10	124	81.0	1	0	1	1	15
7	16	19.0	110.0	0.5	17.0	129	0.80	87	70.0	0	0	3	1	15
7	17	*	108.0	0.9	41.0	165	1.70	92	79.0	1	0	0	1	15
7	18	22.0	*	5.6	*	487	7.70	110	73.0	1	0	1	1	15
8	1	*	*	*	*	*	*	*	*	*	*	2	0	15
8	2	19.0	386.0	5.4	93.0	483	7.60	101	25.0	1	0	2	0	15
8	3	13.0	342.0	4.2	100.0	429	7.40	200	44.0	0	0	1	0	15
8	4	12.0	273.0	3.4	84.0	298	5.30	164	69.0	0	0	2	0	15
8	5	24.0	321.0	5.1	76.0	336	7.10	188	64.0	1	0	2	0	15
8	6	10.0	143.0	*	62.0	190	1.70	113	71.0	0	0	3	0	15
8	7	*	*	*	*	*	*	*	*	*	*	0	0	15
8	8	18.0	280.0	3.5	85.0	339	5.50	153	49.0	1	0	1	0	15
8	9	19.0	255.0	3.4	*	319	6.30	165	68.0	1	0	3	0	15
8	10	18.0	204.0	2.0	79.0	259	3.70	147	56.0	1	0	0	1	15
8	11	31.0	315.0	5.3	82.0	374	7.80	241	73.0	0	0	1	1	15
8	12	10.0	250.0	4.0	72.0	304	5.60	156	72.0	0	0	1	1	15
8	13	21.0	305.0	6.0	72.0	345	8.80	186	73.0	0	0	0	1	15
8	14	*	183.0	1.6	66.0	258	3.10	132	44.0	1	0	2	1	15
8	15	25.0	283.0	3.7	78.0	331	5.50	177	59.0	1	0	2	1	15
8	16	20.0	236.0	2.8	67.0	298	4.70	190	59.0	0	0	3	1	15
8	17	22.0	374.0	5.6	78.0	446	8.80	265	85.0	0	0	2	1	15
8	18	15.0	246.0	3.2	74.0	306	5.00	200	64.0	0	0	1	1	15
9	1	16.5	271.2	3.2	73.2	308	4.60	151	98.0	0	0	3	0	15
9	2	24.8	358.0	6.0	88.7	454	8.30	218	94.0	0	0	1	0	15
9	3	15.4	368.0	5.4	85.0	454	7.60	198	90.0	0	0	0	0	15
9	4	13.6	359.0	5.7	60.8	421	8.20	228	75.0	0	0	2	0	15
9	5	17.1	342.7	5.0	80.7	429	7.00	156	69.0	0	0	2	0	15
9	6	*	72.0	1.0	26.0	100	0.70	47	70.0	0	0	0	0	15
9	7	*	235.5	3.4	76.5	322	5.20	200	91.0	0	0	1	0	15
9	8	33.4	322.0	6.0	54.4	404	10.10	240	107.0	0	0	0	0	15
9	9	17.7	217.7	2.2	87.7	299	3.80	147	62.0	0	0	0	0	15
9	10	30.1	269.3	3.8	84.3	333	5.90	187	60.0	0	0	0	1	15
9	11	10.1	117.3	1.4	47.3	177	1.60	75	56.0	0	0	0	1	15
9	12	16.4	253.1	3.5	72.1	345	5.10	155	65.0	0	0	0	1	15
9	13	*	*	*	*	*	*	*	*	*	*	0	1	15
9	14	16.6	123.6	1.5	52.6	176	1.90	105	69.0	1	0	1	1	15
9	15	21.9	211.9	2.1	72.9	299	3.50	177	77.0	0	0	0	1	15
9	16	24.0	*	5.2	*	416	7.20	184	83.0	0	0	2	1	15
9	17	17.2	220.5	2.8	66.5	309	4.50	126	74.0	0	0	3	1	15
9	18	7.0	132.3	0.8	43.3	162	1.80	96	69.0	0	0	0	1	15
10	1	25.0	275.5	4.3	48.5	315	5.50	164	64.0	1	0	0	0	15
10	2	12.3	388.4	5.5	90.4	458	7.70	246	70.0	0	0	3	0	15
10	3	12.3	318.1	5.4	62.1	352	7.50	231	60.0	0	0	0	0	15
10	4	18.2	289.3	5.1	62.3	327	6.30	160	70.0	0	0	0	0	15
10	5	*	*	*	*	*	*	*	*	*	*	0	0	15
10	6	*	*	*	*	*	*	*	*	*	*	0	0	15
10	7	13.2	333.7	5.4	78.7	397	7.70	180	74.0	0	0	3	0	15
10	8	*	179.6	1.8	74.6	244	3.40	114	68.0	0	0	0	0	15
10	9	16.0	315.0	5.3	84.0	407	8.40	183	70.0	0	0	0	0	15
10	10	13.4	238.5	3.1	65.5	281	5.50	185	97.0	0	0	0	1	15
10	11	*	*	*	*	*	*	*	*	*	*	0	1	15
10	12	10.7	247.5	3.8	75.5	320	5.70	190	81.0	0	0	0	1	15
10	13	21.1	*	5.8	*	399	8.20	244	59.0	0	0	1	1	15
10	14	18.2	209.0	2.4	79.5	244	7.70	128	36.0	0	0	0	1	15
10	15	17.3	263.1	4.7	24.1	305	6.70	179	76.0	1	0	2	1	15
10	16	*	*	*	*	*	*	*	*	*	*	0	1	15
10	17	23.0	295.5	4.0	83.5	386	5.70	152	86.0	1	0	2	1	15
10	18	*	181.5	1.7	69.5	261	3.20	120	84.0	0	0	0	1	15
11	1	21.0	427.0	6.2	95.0	483	7.30	*	75.0	1	0	0	0	15
11	2	18.0	310.0	4.4	81.0	352	6.10	181	67.0	1	0	1	0	15
11	3	20.5	375.0	5.7	92.0	435	*	*	80.0	0	0	1	0	15
11	4	25.0	347.0	5.9	91.0	413	8.00	150	70.0	0	0	1	0	15
11	5	*	*	*	*	*	*	*	*	*	*	0	0	15
11	6	19.2	364.0	6.6	83.0	413	8.70	247	91.0	0	0	1	0	15
11	7	18.5	210.4	2.2	71.4	273	3.60	185	60.0	0	0	0	0	15
11	8	16.5	303.0	6.0	73.0	374	8.30	222	60.0	0	0	2	0	15
11	9	*	*	*	*	*	*	*	*	*	*	0	0	15
11	10	19.0	311.5	5.0	82.5	389	7.10	236	75.0	0	0	1	1	15
11	11	*	*	*	*	*	*	*	*	*	*	0	1	15
11	12	31.5	196.3	2.2	75.3	273	3.90	162	55.0	0	0	0	1	15
11	13	18.5	214.0	3.0	48.0	283	5.40	166	60.0	0	0	2	1	15
11	14	16.3	283.0	4.0	80.0	333	5.70	195	73.0	0	0	1	1	15
11	15	15.5	225.0	2.9	57.0	302	4.60	134	65.0	0	0	2	1	15
11	16	*	*	*	*	*	*	*	*	*	*	0	1	15
11	17	7.0	200.5	2.0	62.5	252	4.00	183	67.0	1	0	2	1	15
11	18	*	191.5	1.9	61.5	270	3.20	159	57.0	1	0	1	1	15
12	1	9.0	93.0	2.8	24.0	98	*	92	58.0	0	0	2	0	15
12	2	23.0	205.7	2.6	76.7	285	4.40	170	77.0	0	0	2	0	15
12	3	18.1	193.0	2.5	63.0	261	3.90	142	63.0	0	0	1	0	15
12	4	29.6	300.0	4.3	68.0	332	5.80	196	65.0	0	1	3	0	15
12	5	27.0	349.4	5.3	89.4	428	7.70	235	95.0	0	0	1	0	15
12	6	28.0	336.0	5.5	86.0	420	7.70	241	81.0	0	0	1	0	15
12	7	24.3	378.0	6.4	60.0	443	9.30	285	71.0	0	0	1	0	15
12	8	26.0	309.0	4.4	89.0	382	7.70	196	52.0	0	0	1	0	15
12	9	18.5	304.8	5.1	75.8	361	6.80	210	68.0	0	0	1	0	15
12	10	25.5	292.0	4.9	55.0	355	7.60	218	87.0	0	0	3	1	15
12	11	16.3	200.0	1.9	76.0	277	3.70	110	79.0	0	0	2	1	15
12	12	21.0	200.2	1.8	68.2	268	3.20	122	75.0	0	0	1	1	15
12	13	16.9	310.0	5.2	69.0	393	7.90	225	71.0	0	0	2	1	15
12	14	24.3	227.0	2.5	71.0	279	3.70	141	93.0	0	0	3	1	15
12	15	16.4	189.6	1.9	57.6	281	4.00	175	69.0	0	0	1	1	15
12	16	21.5	211.5	3.0	50.5	280	4.70	140	80.0	0	0	3	1	15
12	17	15.1	262.6	4.2	54.6	305	6.00	212	73.0	1	0	3	1	15
12	18	*	157.5	1.6	59.5	199	2.70	90	64.0	0	0	3	1	15
13	1	19.6	262.8	3.2	66.8	331	4.80	100	68.0	0	0	1	1	15
13	2	18.2	201.5	1.6	76.5	*	*	*	*	0	*	2	1	15
13	3	21.3	358.0	5.7	98.2	400	8.50	250	71.0	0	0	1	1	15
13	4	*	*	*	*	*	*	*	*	*	*	0	1	15
13	5	19.8	268.4	4.7	66.4	341	6.40	181	85.0	0	0	2	1	15
13	6	16.2	214.6	2.6	54.6	298	4.10	104	95.0	0	0	3	1	15
13	7	*	94.6	*	29.6	130	1.30	75	76.0	0	0	1	1	15
13	8	*	173.0	2.2	67.3	215	4.80	141	78.0	0	0	1	1	15
13	9	*	*	*	*	*	*	*	*	*	*	0	1	15
13	10	*	*	*	*	*	*	*	*	*	*	0	0	15
13	11	18.3	253.0	4.2	73.4	323	6.30	254	80.0	0	0	1	0	15
13	12	18.3	217.9	2.9	55.9	305	5.90	181	80.0	0	0	3	0	15
13	13	17.7	254.0	4.4	49.7	316	6.30	194	71.0	0	0	1	0	15
13	14	19.7	232.2	2.2	69.2	297	3.50	136	70.0	1	0	0	0	15
13	15	16.5	345.2	5.5	81.2	408	7.90	199	73.0	1	0	2	0	15
13	16	15.8	281.6	3.5	87.6	325	5.30	182	61.0	0	0	2	0	15
13	17	13.7	321.4	5.2	75.4	365	7.80	234	88.0	1	0	1	0	15
13	18	*	*	*	*	*	*	*	*	*	*	0	0	15
14	1	20.0	240.0	3.1	68.0	293	4.70	170	75.0	1	0	1	1	15
14	2	20.0	268.0	3.0	96.0	353	5.30	203	71.0	0	0	0	1	15
14	3	6.0	348.0	4.7	99.0	422	7.40	275	67.0	0	0	0	1	15
14	4	14.0	303.0	4.3	84.0	394	7.80	228	85.0	0	0	0	1	15
14	5	6.0	270.0	2.8	87.0	363	4.50	145	60.0	0	0	1	1	15
14	6	16.0	272.0	4.0	78.0	361	6.90	200	81.0	0	0	2	1	15
14	7	*	*	*	*	*	*	*	*	*	*	0	1	15
14	8	15.0	124.0	1.0	46.0	195	2.30	125	73.0	0	0	0	1	15
14	9	*	189.0	1.9	74.0	261	3.70	145	84.0	0	0	0	1	15
14	10	20.0	206.0	2.5	64.0	279	4.60	178	85.0	0	0	1	0	15
14	11	15.0	231.0	2.6	79.0	310	4.10	169	95.0	0	0	2	0	15
14	12	14.0	287.0	4.8	82.0	361	6.00	249	71.0	0	0	0	0	15
14	13	*	*	*	*	*	*	*	*	*	*	0	0	15
14	14	16.0	272.0	3.7	82.0	337	4.90	175	91.0	0	0	1	0	15
14	15	24.0	326.0	6.0	84.0	420	8.50	244	78.0	0	0	0	0	15
14	16	27.0	361.0	5.5	76.0	453	7.90	243	83.0	1	1	0	0	15
14	17	12.0	244.0	3.3	65.0	340	5.50	146	84.0	0	0	3	0	15
14	18	18.0	253.0	3.3	71.0	325	5.80	100	67.0	1	0	3	0	15
15	1	11.0	148.0	*	39.0	204	6.80	113	85.0	1	1	2	1	15
15	2	*	133.0	*	54.0	202	8.50	100	80.0	0	0	0	1	15
15	3	17.0	241.0	3.0	61.0	314	4.60	176	70.0	0	0	3	1	15
15	4	19.0	348.0	5.5	100.0	439	7.30	178	90.0	0	0	0	1	15
15	5	*	*	*	*	*	*	*	*	*	*	0	1	15
15	6	18.0	240.0	4.9	27.0	282	5.30	202	80.0	1	0	3	1	15
15	7	*	*	*	*	*	*	*	*	*	*	0	1	15
15	8	*	*	*	*	*	*	*	*	*	*	0	1	15
15	9	*	69.0	*	26.0	88	0.70	40	95.0	0	0	3	1	15
15	10	29.0	297.0	4.5	79.0	366	5.90	250	85.0	1	1	3	0	15
15	11	*	*	*	*	*	*	*	*	*	*	0	0	15
15	12	20.0	255.0	3.9	94.0	340	4.60	226	87.0	0	0	3	0	15
15	13	25.0	370.0	6.5	80.0	444	9.40	272	88.0	1	0	2	0	15
15	14	26.0	293.0	5.1	82.0	356	6.50	202	85.0	1	0	0	0	15
15	15	27.0	350.0	6.2	60.0	443	7.50	200	69.0	0	1	3	0	15
15	16	24.0	394.0	6.7	89.0	484	8.60	229	82.0	1	1	2	0	15
15	17	14.0	178.0	2.3	46.0	252	2.90	157	65.0	1	0	2	0	15
15	18	23.0	264.0	4.5	87.0	351	6.80	214	105.0	0	0	0	0	15
16	1	17.0	289.0	4.9	55.0	369	6.80	206	80.0	1	0	0	1	15
16	2	24.0	331.0	5.4	84.0	411	7.30	208	77.0	1	0	0	1	15
16	3	19.0	368.0	6.0	91.0	456	7.90	234	81.0	0	1	1	1	15
16	4	18.0	170.0	1.6	46.0	219	2.90	120	56.0	0	0	2	1	15
16	5	13.0	286.0	3.6	80.0	344	5.70	193	100.0	1	1	1	1	15
16	6	*	*	*	*	*	*	*	*	*	*	0	1	15
16	7	13.0	236.0	3.7	53.0	279	5.50	175	71.0	1	0	0	1	15
16	8	*	*	*	*	*	*	*	*	*	*	0	1	15
16	9	*	*	*	*	*	*	*	*	*	*	3	1	15
16	10	8.0	148.0	1.5	40.0	196	2.90	110	70.0	1	1	1	0	15
16	11	17.0	272.0	4.3	69.0	333	6.30	185	85.0	1	0	0	0	15
16	12	10.0	223.0	2.4	70.0	320	4.20	163	70.0	1	0	0	0	15
16	13	20.0	190.0	2.7	40.0	270	3.10	137	60.0	0	0	3	0	15
16	14	16.0	333.0	6.2	83.0	424	8.80	213	72.0	0	0	0	0	15
16	15	15.0	321.0	4.4	94.0	401	6.60	230	70.0	1	0	2	0	15
16	16	18.0	365.0	6.2	84.0	467	8.80	247	77.0	1	1	3	0	15
16	17	10.0	294.0	4.1	84.0	387	5.60	200	70.0	1	0	2	0	15
16	18	7.0	235.0	2.3	94.0	306	3.70	140	70.0	0	1	3	0	15
17	1	33.0	304.0	3.3	107.0	364	5.10	151	66.0	1	0	2	1	15
17	2	28.0	353.0	4.6	114.0	412	7.40	203	90.0	1	0	0	1	15
17	3	20.0	351.0	6.2	80.0	438	8.10	259	68.0	0	0	2	1	15
17	4	*	251.0	4.4	76.0	333	5.30	195	97.0	0	1	1	1	15
17	5	24.0	259.0	3.7	68.0	330	5.60	153	82.0	0	0	3	1	15
17	6	14.0	332.0	4.8	98.0	393	7.00	254	88.0	0	0	3	1	15
17	7	10.0	125.0	0.8	46.0	178	1.65	94	60.0	0	0	1	1	15
17	8	*	180.0	1.9	74.0	236	3.70	159	71.0	0	0	1	1	15
17	9	25.0	245.0	2.9	73.0	311	4.30	158	74.0	0	0	3	1	15
17	10	29.0	280.0	5.0	70.0	357	7.20	207	74.0	1	1	0	0	15
17	11	*	*	*	*	*	*	*	*	*	*	0	0	15
17	12	24.0	252.0	3.1	62.0	306	4.70	157	66.0	0	0	3	0	15
17	13	14.0	326.0	5.4	86.0	390	7.80	267	74.0	1	0	1	0	15
17	14	6.0	309.0	5.4	83.0	348	8.20	209	100.0	0	0	0	0	15
17	15	22.0	328.0	5.5	99.0	379	8.70	264	63.0	0	0	1	0	15
17	16	20.0	313.0	6.1	83.0	383	6.90	164	65.0	0	0	2	0	15
17	17	18.0	221.0	3.2	89.0	264	7.20	165	69.0	1	0	3	0	15
17	18	16.0	328.0	5.1	92.0	372	7.80	201	80.0	0	0	2	0	15
18	1	*	*	*	*	*	*	*	*	*	*	0	1	15
18	2	*	155.5	1.5	41.5	228	2.70	114	70.0	0	0	2	1	15
18	3	*	205.0	2.5	69.0	281	4.10	152	78.0	0	0	3	1	15
18	4	*	201.0	2.3	66.0	275	3.60	122	81.0	1	0	3	1	15
18	5	18.0	289.0	4.5	80.0	403	6.70	227	81.0	0	0	0	1	15
18	6	21.0	306.0	4.7	82.0	374	6.50	206	82.0	1	0	0	1	15
18	7	*	213.0	2.3	76.0	284	4.10	156	85.0	0	0	3	1	15
18	8	15.0	233.0	3.5	75.0	301	5.80	170	74.0	1	0	0	1	15
18	9	*	*	*	*	*	*	*	*	*	*	0	1	15
18	10	*	187.0	3.7	2.0	260	5.90	177	73.0	0	0	0	0	15
18	11	24.0	259.0	3.4	70.0	343	7.20	186	85.0	0	0	1	0	15
18	12	17.0	247.0	3.3	75.0	314	5.40	163	82.0	0	0	3	0	15
18	13	19.0	227.0	2.5	78.0	309	5.00	171	68.0	0	0	2	0	15
18	14	19.0	288.0	4.2	81.0	379	7.90	248	84.0	0	0	2	0	15
18	15	15.0	264.0	3.3	80.0	342	7.30	170	63.0	0	0	0	0	15
18	16	14.0	334.0	5.6	86.0	395	7.40	209	85.0	0	0	3	0	15
18	17	14.0	235.0	3.6	60.0	315	5.30	194	83.0	0	0	2	0	15
18	18	18.0	247.0	3.2	85.0	334	4.70	200	82.0	1	1	1	0	15
19	1	*	204.0	2.1	81.0	269	4.20	135	75.7	0	0	1	1	15
19	2	13.0	155.0	1.4	43.0	*	2.60	110	69.0	0	0	3	1	15
19	3	22.0	286.0	4.3	91.0	351	6.70	256	88.0	1	0	1	1	15
19	4	18.0	347.0	5.4	94.0	445	8.60	217	77.0	1	0	1	1	15
19	5	20.0	332.0	6.0	58.0	401	8.30	243	88.0	0	0	1	1	15
19	6	*	*	*	*	*	*	*	*	*	*	0	1	15
19	7	14.0	228.0	3.1	47.0	301	6.40	180	80.0	0	0	2	1	15
19	8	*	*	*	*	*	*	*	*	*	*	0	1	15
19	9	*	*	*	*	*	*	*	*	*	*	0	1	15
19	10	13.0	181.0	1.8	71.0	227	3.50	116	71.0	0	0	0	0	15
19	11	16.0	157.0	1.6	47.0	180	2.70	97	110.0	0	0	3	0	15
19	12	10.0	91.0	*	22.0	137	0.80	65	42.0	0	0	3	0	15
19	13	*	*	*	*	*	*	*	*	*	*	0	0	15
19	14	22.0	266.0	3.1	91.0	356	4.70	209	72.0	0	0	1	0	15
19	15	17.0	317.0	5.8	74.0	384	7.70	228	85.0	0	0	2	0	15
19	16	16.0	300.0	5.2	82.0	353	7.10	196	77.0	0	0	2	0	15
19	17	13.0	348.0	5.7	105.0	434	7.90	196	77.0	1	0	1	0	15
19	18	24.0	228.0	2.4	52.0	299	4.10	143	95.0	0	0	3	0	15
20	1	*	*	*	*	*	*	*	*	*	*	0	1	15
20	2	*	240.0	3.2	83.0	294	4.90	186	93.0	0	0	1	1	15
20	3	33.0	258.0	3.6	80.0	339	5.10	274	88.0	1	0	1	1	15
